time,values,unit,geo,time,region_name,year
2020-01-01,30200,EUR_HAB,AT11,2020-01-01,Burgenland,2020
2020-01-01,35300,EUR_HAB,AT12,2020-01-01,Niederösterreich,2020
2020-01-01,50400,EUR_HAB,AT13,2020-01-01,Wien,2020
2020-01-01,36900,EUR_HAB,AT21,2020-01-01,Kärnten,2020
2020-01-01,39000,EUR_HAB,AT22,2020-01-01,Steiermark,2020
2020-01-01,43700,EUR_HAB,AT31,2020-01-01,Oberösterreich,2020
2020-01-01,49900,EUR_HAB,AT32,2020-01-01,Salzburg,2020
2020-01-01,44100,EUR_HAB,AT33,2020-01-01,Tirol,2020
2020-01-01,45700,EUR_HAB,AT34,2020-01-01,Vorarlberg,2020
2020-01-01,68400,EUR_HAB,BE10,2020-01-01,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,2020
2020-01-01,47000,EUR_HAB,BE21,2020-01-01,Prov. Antwerpen,2020
2020-01-01,31800,EUR_HAB,BE22,2020-01-01,Prov. Limburg (BE),2020
2020-01-01,35800,EUR_HAB,BE23,2020-01-01,Prov. Oost-Vlaanderen,2020
2020-01-01,42800,EUR_HAB,BE24,2020-01-01,Prov. Vlaams-Brabant,2020
2020-01-01,37900,EUR_HAB,BE25,2020-01-01,Prov. West-Vlaanderen,2020
2020-01-01,54400,EUR_HAB,BE31,2020-01-01,Prov. Brabant Wallon,2020
2020-01-01,24500,EUR_HAB,BE32,2020-01-01,Prov. Hainaut,2020
2020-01-01,27800,EUR_HAB,BE33,2020-01-01,Prov. Liège,2020
2020-01-01,23900,EUR_HAB,BE34,2020-01-01,Prov. Luxembourg (BE),2020
2020-01-01,26400,EUR_HAB,BE35,2020-01-01,Prov. Namur,2020
2020-01-01,5800,EUR_HAB,BG31,2020-01-01,Северозападен,2020
2020-01-01,6000,EUR_HAB,BG32,2020-01-01,Северен централен,2020
2020-01-01,6700,EUR_HAB,BG33,2020-01-01,Североизточен,2020
2020-01-01,6200,EUR_HAB,BG34,2020-01-01,Югоизточен,2020
2020-01-01,14800,EUR_HAB,BG41,2020-01-01,Югозападен,2020
2020-01-01,6400,EUR_HAB,BG42,2020-01-01,Южен централен,2020
2020-01-01,24200,EUR_HAB,CY00,2020-01-01,Κύπρος,2020
2020-01-01,43700,EUR_HAB,CZ01,2020-01-01,Praha,2020
2020-01-01,18000,EUR_HAB,CZ02,2020-01-01,Střední Čechy,2020
2020-01-01,17000,EUR_HAB,CZ03,2020-01-01,Jihozápad,2020
2020-01-01,13600,EUR_HAB,CZ04,2020-01-01,Severozápad,2020
2020-01-01,16800,EUR_HAB,CZ05,2020-01-01,Severovýchod,2020
2020-01-01,18700,EUR_HAB,CZ06,2020-01-01,Jihovýchod,2020
2020-01-01,16500,EUR_HAB,CZ07,2020-01-01,Střední Morava,2020
2020-01-01,15700,EUR_HAB,CZ08,2020-01-01,Moravskoslezsko,2020
2020-01-01,51900,EUR_HAB,DE11,2020-01-01,Stuttgart,2020
2020-01-01,44000,EUR_HAB,DE12,2020-01-01,Karlsruhe,2020
2020-01-01,38100,EUR_HAB,DE13,2020-01-01,Freiburg,2020
2020-01-01,43300,EUR_HAB,DE14,2020-01-01,Tübingen,2020
2020-01-01,58000,EUR_HAB,DE21,2020-01-01,Oberbayern,2020
2020-01-01,38900,EUR_HAB,DE22,2020-01-01,Niederbayern,2020
2020-01-01,41700,EUR_HAB,DE23,2020-01-01,Oberpfalz,2020
2020-01-01,38300,EUR_HAB,DE24,2020-01-01,Oberfranken,2020
2020-01-01,44800,EUR_HAB,DE25,2020-01-01,Mittelfranken,2020
2020-01-01,40300,EUR_HAB,DE26,2020-01-01,Unterfranken,2020
2020-01-01,39300,EUR_HAB,DE27,2020-01-01,Schwaben,2020
2020-01-01,42300,EUR_HAB,DE30,2020-01-01,Berlin,2020
2020-01-01,29700,EUR_HAB,DE40,2020-01-01,Brandenburg,2020
2020-01-01,46900,EUR_HAB,DE50,2020-01-01,Bremen,2020
2020-01-01,64400,EUR_HAB,DE60,2020-01-01,Hamburg,2020
2020-01-01,50700,EUR_HAB,DE71,2020-01-01,Darmstadt,2020
2020-01-01,34400,EUR_HAB,DE72,2020-01-01,Gießen,2020
2020-01-01,36300,EUR_HAB,DE73,2020-01-01,Kassel,2020
2020-01-01,28900,EUR_HAB,DE80,2020-01-01,Mecklenburg-Vorpommern,2020
2020-01-01,47400,EUR_HAB,DE91,2020-01-01,Braunschweig,2020
2020-01-01,39300,EUR_HAB,DE92,2020-01-01,Hannover,2020
2020-01-01,28600,EUR_HAB,DE93,2020-01-01,Lüneburg,2020
2020-01-01,35800,EUR_HAB,DE94,2020-01-01,Weser-Ems,2020
2020-01-01,41700,EUR_HAB,DEA1,2020-01-01,Düsseldorf,2020
2020-01-01,43200,EUR_HAB,DEA2,2020-01-01,Köln,2020
2020-01-01,34100,EUR_HAB,DEA3,2020-01-01,Münster,2020
2020-01-01,38300,EUR_HAB,DEA4,2020-01-01,Detmold,2020
2020-01-01,35100,EUR_HAB,DEA5,2020-01-01,Arnsberg,2020
2020-01-01,33700,EUR_HAB,DEB1,2020-01-01,Koblenz,2020
2020-01-01,30500,EUR_HAB,DEB2,2020-01-01,Trier,2020
2020-01-01,37200,EUR_HAB,DEB3,2020-01-01,Rheinhessen-Pfalz,2020
2020-01-01,34500,EUR_HAB,DEC0,2020-01-01,Saarland,2020
2020-01-01,31800,EUR_HAB,DED2,2020-01-01,Dresden,2020
2020-01-01,29100,EUR_HAB,DED4,2020-01-01,Chemnitz,2020
2020-01-01,33300,EUR_HAB,DED5,2020-01-01,Leipzig,2020
2020-01-01,29000,EUR_HAB,DEE0,2020-01-01,Sachsen-Anhalt,2020
2020-01-01,33800,EUR_HAB,DEF0,2020-01-01,Schleswig-Holstein,2020
2020-01-01,29300,EUR_HAB,DEG0,2020-01-01,Thüringen,2020
2020-01-01,69700,EUR_HAB,DK01,2020-01-01,Hovedstaden,2020
2020-01-01,37600,EUR_HAB,DK02,2020-01-01,Sjælland,2020
2020-01-01,47400,EUR_HAB,DK03,2020-01-01,Syddanmark,2020
2020-01-01,49200,EUR_HAB,DK04,2020-01-01,Midtjylland,2020
2020-01-01,44600,EUR_HAB,DK05,2020-01-01,Nordjylland,2020
2020-01-01,20200,EUR_HAB,EE00,2020-01-01,Eesti,2020
2020-01-01,20900,EUR_HAB,EL30,2020-01-01,Aττική,2020
2020-01-01,10100,EUR_HAB,EL41,2020-01-01,Βόρειο Αιγαίο,2020
2020-01-01,15600,EUR_HAB,EL42,2020-01-01,Νότιο Αιγαίο,2020
2020-01-01,12800,EUR_HAB,EL43,2020-01-01,Κρήτη,2020
2020-01-01,10900,EUR_HAB,EL51,2020-01-01,"Aνατολική Μακεδονία, Θράκη",2020
2020-01-01,12100,EUR_HAB,EL52,2020-01-01,Κεντρική Μακεδονία,2020
2020-01-01,12600,EUR_HAB,EL53,2020-01-01,Δυτική Μακεδονία,2020
2020-01-01,11200,EUR_HAB,EL54,2020-01-01,Ήπειρος,2020
2020-01-01,12200,EUR_HAB,EL61,2020-01-01,Θεσσαλία,2020
2020-01-01,13800,EUR_HAB,EL62,2020-01-01,Ιόνια Νησιά,2020
2020-01-01,11400,EUR_HAB,EL63,2020-01-01,Δυτική Ελλάδα,2020
2020-01-01,15100,EUR_HAB,EL64,2020-01-01,Στερεά Ελλάδα,2020
2020-01-01,13400,EUR_HAB,EL65,2020-01-01,Πελοπόννησος,2020
2020-01-01,21900,EUR_HAB,ES11,2020-01-01,Galicia,2020
2020-01-01,21100,EUR_HAB,ES12,2020-01-01,Principado de Asturias,2020
2020-01-01,22100,EUR_HAB,ES13,2020-01-01,Cantabria,2020
2020-01-01,30400,EUR_HAB,ES21,2020-01-01,País Vasco,2020
2020-01-01,29300,EUR_HAB,ES22,2020-01-01,Comunidad Foral de Navarra,2020
2020-01-01,25700,EUR_HAB,ES23,2020-01-01,La Rioja,2020
2020-01-01,26500,EUR_HAB,ES24,2020-01-01,Aragón,2020
2020-01-01,32000,EUR_HAB,ES30,2020-01-01,Comunidad de Madrid,2020
2020-01-01,23200,EUR_HAB,ES41,2020-01-01,Castilla y León,2020
2020-01-01,19400,EUR_HAB,ES42,2020-01-01,Castilla-La Mancha,2020
2020-01-01,18300,EUR_HAB,ES43,2020-01-01,Extremadura,2020
2020-01-01,27800,EUR_HAB,ES51,2020-01-01,Cataluña,2020
2020-01-01,20800,EUR_HAB,ES52,2020-01-01,Comunitat Valenciana ,2020
2020-01-01,22000,EUR_HAB,ES53,2020-01-01,Illes Balears,2020
2020-01-01,17700,EUR_HAB,ES61,2020-01-01,Andalucía,2020
2020-01-01,19800,EUR_HAB,ES62,2020-01-01,Región de Murcia,2020
2020-01-01,19500,EUR_HAB,ES63,2020-01-01,Ciudad de Ceuta,2020
2020-01-01,17900,EUR_HAB,ES64,2020-01-01,Ciudad de Melilla,2020
2020-01-01,17400,EUR_HAB,ES70,2020-01-01,Canarias,2020
2020-01-01,37900,EUR_HAB,FI19,2020-01-01,Länsi-Suomi,2020
2020-01-01,55000,EUR_HAB,FI1B,2020-01-01,Helsinki-Uusimaa,2020
2020-01-01,37900,EUR_HAB,FI1C,2020-01-01,Etelä-Suomi,2020
2020-01-01,35900,EUR_HAB,FI1D,2020-01-01,Pohjois- ja Itä-Suomi,2020
2020-01-01,38900,EUR_HAB,FI20,2020-01-01,Åland,2020
2020-01-01,57400,EUR_HAB,FR10,2020-01-01,Ile-de-France,2020
2020-01-01,27800,EUR_HAB,FRB0,2020-01-01,Centre — Val de Loire,2020
2020-01-01,27900,EUR_HAB,FRC1,2020-01-01,Bourgogne,2020
2020-01-01,25500,EUR_HAB,FRC2,2020-01-01,Franche-Comté,2020
2020-01-01,26400,EUR_HAB,FRD1,2020-01-01,Basse-Normandie ,2020
2020-01-01,27600,EUR_HAB,FRD2,2020-01-01,Haute-Normandie ,2020
2020-01-01,27900,EUR_HAB,FRE1,2020-01-01,Nord-Pas de Calais,2020
2020-01-01,24700,EUR_HAB,FRE2,2020-01-01,Picardie,2020
2020-01-01,31000,EUR_HAB,FRF1,2020-01-01,Alsace,2020
2020-01-01,27800,EUR_HAB,FRF2,2020-01-01,Champagne-Ardenne,2020
2020-01-01,24300,EUR_HAB,FRF3,2020-01-01,Lorraine,2020
2020-01-01,30100,EUR_HAB,FRG0,2020-01-01,Pays de la Loire,2020
2020-01-01,29400,EUR_HAB,FRH0,2020-01-01,Bretagne,2020
2020-01-01,29600,EUR_HAB,FRI1,2020-01-01,Aquitaine,2020
2020-01-01,24800,EUR_HAB,FRI2,2020-01-01,Limousin,2020
2020-01-01,27400,EUR_HAB,FRI3,2020-01-01,Poitou-Charentes,2020
2020-01-01,25600,EUR_HAB,FRJ1,2020-01-01,Languedoc-Roussillon,2020
2020-01-01,30400,EUR_HAB,FRJ2,2020-01-01,Midi-Pyrénées,2020
2020-01-01,27000,EUR_HAB,FRK1,2020-01-01,Auvergne,2020
2020-01-01,34300,EUR_HAB,FRK2,2020-01-01,Rhône-Alpes,2020
2020-01-01,31500,EUR_HAB,FRL0,2020-01-01,Provence-Alpes-Côte d’Azur,2020
2020-01-01,25500,EUR_HAB,FRM0,2020-01-01,Corse,2020
2020-01-01,22600,EUR_HAB,FRY1,2020-01-01,Guadeloupe,2020
2020-01-01,24600,EUR_HAB,FRY2,2020-01-01,Martinique ,2020
2020-01-01,15000,EUR_HAB,FRY3,2020-01-01,Guyane,2020
2020-01-01,22100,EUR_HAB,FRY4,2020-01-01,La Réunion ,2020
2020-01-01,9700,EUR_HAB,FRY5,2020-01-01,Mayotte,2020
2020-01-01,7900,EUR_HAB,HR02,2020-01-01,Panonska Hrvatska,2020
2020-01-01,11500,EUR_HAB,HR03,2020-01-01,Jadranska Hrvatska,2020
2020-01-01,23400,EUR_HAB,HR05,2020-01-01,Grad Zagreb,2020
2020-01-01,10000,EUR_HAB,HR06,2020-01-01,Sjeverna Hrvatska,2020
2020-01-01,29000,EUR_HAB,HU11,2020-01-01,Budapest,2020
2020-01-01,11200,EUR_HAB,HU12,2020-01-01,Pest,2020
2020-01-01,12700,EUR_HAB,HU21,2020-01-01,Közép-Dunántúl,2020
2020-01-01,13300,EUR_HAB,HU22,2020-01-01,Nyugat-Dunántúl,2020
2020-01-01,9700,EUR_HAB,HU23,2020-01-01,Dél-Dunántúl,2020
2020-01-01,9500,EUR_HAB,HU31,2020-01-01,Észak-Magyarország,2020
2020-01-01,9200,EUR_HAB,HU32,2020-01-01,Észak-Alföld,2020
2020-01-01,10300,EUR_HAB,HU33,2020-01-01,Dél-Alföld,2020
2020-01-01,30100,EUR_HAB,IE04,2020-01-01,Northern and Western,2020
2020-01-01,97500,EUR_HAB,IE05,2020-01-01,Southern,2020
2020-01-01,75700,EUR_HAB,IE06,2020-01-01,Eastern and Midland,2020
2020-01-01,29400,EUR_HAB,ITC1,2020-01-01,Piemonte,2020
2020-01-01,36300,EUR_HAB,ITC2,2020-01-01,Valle d’Aosta/Vallée d’Aoste,2020
2020-01-01,30300,EUR_HAB,ITC3,2020-01-01,Liguria,2020
2020-01-01,36500,EUR_HAB,ITC4,2020-01-01,Lombardia,2020
2020-01-01,24000,EUR_HAB,ITF1,2020-01-01,Abruzzo,2020
2020-01-01,20500,EUR_HAB,ITF2,2020-01-01,Molise,2020
2020-01-01,18100,EUR_HAB,ITF3,2020-01-01,Campania,2020
2020-01-01,18200,EUR_HAB,ITF4,2020-01-01,Puglia,2020
2020-01-01,21200,EUR_HAB,ITF5,2020-01-01,Basilicata,2020
2020-01-01,16500,EUR_HAB,ITF6,2020-01-01,Calabria,2020
2020-01-01,17200,EUR_HAB,ITG1,2020-01-01,Sicilia,2020
2020-01-01,20200,EUR_HAB,ITG2,2020-01-01,Sardegna,2020
2020-01-01,44400,EUR_HAB,ITH1,2020-01-01,Provincia Autonoma di Bolzano/Bozen,2020
2020-01-01,36900,EUR_HAB,ITH2,2020-01-01,Provincia Autonoma di Trento,2020
2020-01-01,31200,EUR_HAB,ITH3,2020-01-01,Veneto,2020
2020-01-01,30600,EUR_HAB,ITH4,2020-01-01,Friuli-Venezia Giulia,2020
2020-01-01,33600,EUR_HAB,ITH5,2020-01-01,Emilia-Romagna,2020
2020-01-01,30100,EUR_HAB,ITI1,2020-01-01,Toscana,2020
2020-01-01,24700,EUR_HAB,ITI2,2020-01-01,Umbria,2020
2020-01-01,26300,EUR_HAB,ITI3,2020-01-01,Marche,2020
2020-01-01,32400,EUR_HAB,ITI4,2020-01-01,Lazio,2020
2020-01-01,25600,EUR_HAB,LT01,2020-01-01,Sostinės regionas,2020
2020-01-01,14400,EUR_HAB,LT02,2020-01-01,Vidurio ir vakarų Lietuvos regionas ,2020
2020-01-01,101800,EUR_HAB,LU00,2020-01-01,Luxembourg,2020
2020-01-01,15500,EUR_HAB,LV00,2020-01-01,Latvija,2020
2020-01-01,25300,EUR_HAB,MT00,2020-01-01,Malta,2020
2020-01-01,39700,EUR_HAB,NL11,2020-01-01,Groningen,2020
2020-01-01,32300,EUR_HAB,NL12,2020-01-01,Friesland (NL),2020
2020-01-01,31500,EUR_HAB,NL13,2020-01-01,Drenthe,2020
2020-01-01,39300,EUR_HAB,NL21,2020-01-01,Overijssel,2020
2020-01-01,39200,EUR_HAB,NL22,2020-01-01,Gelderland,2020
2020-01-01,34300,EUR_HAB,NL23,2020-01-01,Flevoland,2020
2020-01-01,58100,EUR_HAB,NL31,2020-01-01,Utrecht,2020
2020-01-01,59300,EUR_HAB,NL32,2020-01-01,Noord-Holland,2020
2020-01-01,45000,EUR_HAB,NL33,2020-01-01,Zuid-Holland,2020
2020-01-01,36400,EUR_HAB,NL34,2020-01-01,Zeeland,2020
2020-01-01,47000,EUR_HAB,NL41,2020-01-01,Noord-Brabant,2020
2020-01-01,40500,EUR_HAB,NL42,2020-01-01,Limburg (NL),2020
2020-01-01,12500,EUR_HAB,PL21,2020-01-01,Małopolskie,2020
2020-01-01,13500,EUR_HAB,PL22,2020-01-01,Śląskie,2020
2020-01-01,14900,EUR_HAB,PL41,2020-01-01,Wielkopolskie,2020
2020-01-01,11400,EUR_HAB,PL42,2020-01-01,Zachodniopomorskie,2020
2020-01-01,11100,EUR_HAB,PL43,2020-01-01,Lubuskie,2020
2020-01-01,15100,EUR_HAB,PL51,2020-01-01,Dolnośląskie,2020
2020-01-01,10700,EUR_HAB,PL52,2020-01-01,Opolskie,2020
2020-01-01,11100,EUR_HAB,PL61,2020-01-01,Kujawsko-pomorskie,2020
2020-01-01,9600,EUR_HAB,PL62,2020-01-01,Warmińsko-mazurskie,2020
2020-01-01,13000,EUR_HAB,PL63,2020-01-01,Pomorskie,2020
2020-01-01,13200,EUR_HAB,PL71,2020-01-01,Łódzkie,2020
2020-01-01,9800,EUR_HAB,PL72,2020-01-01,Świętokrzyskie,2020
2020-01-01,9300,EUR_HAB,PL81,2020-01-01,Lubelskie,2020
2020-01-01,9400,EUR_HAB,PL82,2020-01-01,Podkarpackie,2020
2020-01-01,10000,EUR_HAB,PL84,2020-01-01,Podlaskie,2020
2020-01-01,30000,EUR_HAB,PL91,2020-01-01,Warszawski stołeczny,2020
2020-01-01,11600,EUR_HAB,PL92,2020-01-01,Mazowiecki regionalny,2020
2020-01-01,16900,EUR_HAB,PT11,2020-01-01,Norte,2020
2020-01-01,19900,EUR_HAB,PT15,2020-01-01,Algarve,2020
2020-01-01,17300,EUR_HAB,PT16,2020-01-01,Centro (PT),2020
2020-01-01,24900,EUR_HAB,PT17,2020-01-01,Área Metropolitana de Lisboa,2020
2020-01-01,17700,EUR_HAB,PT18,2020-01-01,Alentejo,2020
2020-01-01,17100,EUR_HAB,PT20,2020-01-01,Região Autónoma dos Açores,2020
2020-01-01,17600,EUR_HAB,PT30,2020-01-01,Região Autónoma da Madeira,2020
2020-01-01,10600,EUR_HAB,RO11,2020-01-01,Nord-Vest,2020
2020-01-01,10600,EUR_HAB,RO12,2020-01-01,Centru,2020
2020-01-01,7200,EUR_HAB,RO21,2020-01-01,Nord-Est,2020
2020-01-01,9100,EUR_HAB,RO22,2020-01-01,Sud-Est,2020
2020-01-01,8600,EUR_HAB,RO31,2020-01-01,Sud-Muntenia,2020
2020-01-01,26000,EUR_HAB,RO32,2020-01-01,Bucureşti-Ilfov,2020
2020-01-01,8900,EUR_HAB,RO41,2020-01-01,Sud-Vest Oltenia,2020
2020-01-01,11700,EUR_HAB,RO42,2020-01-01,Vest,2020
2020-01-01,64400,EUR_HAB,SE11,2020-01-01,Stockholm,2020
2020-01-01,38600,EUR_HAB,SE12,2020-01-01,Östra Mellansverige,2020
2020-01-01,38200,EUR_HAB,SE21,2020-01-01,Småland med öarna,2020
2020-01-01,40000,EUR_HAB,SE22,2020-01-01,Sydsverige,2020
2020-01-01,43800,EUR_HAB,SE23,2020-01-01,Västsverige,2020
2020-01-01,36400,EUR_HAB,SE31,2020-01-01,Norra Mellansverige,2020
2020-01-01,38600,EUR_HAB,SE32,2020-01-01,Mellersta Norrland,2020
2020-01-01,45600,EUR_HAB,SE33,2020-01-01,Övre Norrland,2020
2020-01-01,18500,EUR_HAB,SI03,2020-01-01,Vzhodna Slovenija,2020
2020-01-01,26500,EUR_HAB,SI04,2020-01-01,Zahodna Slovenija,2020
2020-01-01,38900,EUR_HAB,SK01,2020-01-01,Bratislavský kraj,2020
2020-01-01,15600,EUR_HAB,SK02,2020-01-01,Západné Slovensko,2020
2020-01-01,13400,EUR_HAB,SK03,2020-01-01,Stredné Slovensko,2020
2020-01-01,12000,EUR_HAB,SK04,2020-01-01,Východné Slovensko,2020
